GID,Shared,Not Shared,Total,Proportion
8514,4,5,9,44.44444444444444
8335,17,22,39,43.58974358974359
8315,13,17,30,43.333333333333336
642,8,11,19,42.10526315789474
1753,8,11,19,42.10526315789474
723,8,11,19,42.10526315789474
635,8,11,19,42.10526315789474
637,4,6,10,40.0
4568,4,6,10,40.0
5174,8,12,20,40.0
632,8,12,20,40.0
7807,4,6,10,40.0
7789,4,6,10,40.0
8077,4,6,10,40.0
5359,4,6,10,40.0
7996,4,6,10,40.0
922,4,6,10,40.0
5198,4,6,10,40.0
5167,4,6,10,40.0
645,4,6,10,40.0
2848,4,6,10,40.0
451,4,6,10,40.0
1053,4,6,10,40.0
6125,4,6,10,40.0
2935,4,6,10,40.0
4535,4,6,10,40.0
454,4,6,10,40.0
30,4,6,10,40.0
423,4,6,10,40.0
305,4,6,10,40.0
5034,4,6,10,40.0
6185,4,6,10,40.0
9313,4,6,10,40.0
3085,4,6,10,40.0
6190,4,6,10,40.0
2900,4,6,10,40.0
3098,4,6,10,40.0
1069,4,6,10,40.0
798,4,6,10,40.0
7987,4,6,10,40.0
29,4,6,10,40.0
3108,4,6,10,40.0
595,4,6,10,40.0
7948,4,6,10,40.0
4581,4,6,10,40.0
319,4,6,10,40.0
5128,4,6,10,40.0
3448,4,6,10,40.0
378,4,6,10,40.0
377,4,6,10,40.0
6947,4,6,10,40.0
978,8,12,20,40.0
7332,4,6,10,40.0
6980,4,6,10,40.0
70,4,6,10,40.0
7317,4,6,10,40.0
7020,4,6,10,40.0
3382,4,6,10,40.0
7024,4,6,10,40.0
348,4,6,10,40.0
7041,4,6,10,40.0
3656,4,6,10,40.0
706,8,12,20,40.0
71,4,6,10,40.0
36,4,6,10,40.0
995,4,6,10,40.0
7271,4,6,10,40.0
3386,4,6,10,40.0
514,4,6,10,40.0
3210,4,6,10,40.0
7658,4,6,10,40.0
6529,4,6,10,40.0
6539,4,6,10,40.0
414,4,6,10,40.0
7705,4,6,10,40.0
6586,4,6,10,40.0
7703,4,6,10,40.0
768,4,6,10,40.0
5770,4,6,10,40.0
6643,4,6,10,40.0
96,12,18,30,40.0
383,4,6,10,40.0
962,4,6,10,40.0
395,8,12,20,40.0
7581,4,6,10,40.0
3944,4,6,10,40.0
6731,4,6,10,40.0
7511,4,6,10,40.0
5052,4,6,10,40.0
3850,4,6,10,40.0
384,4,6,10,40.0
766,4,6,10,40.0
7261,4,6,10,40.0
1881,4,6,10,40.0
5708,8,12,20,40.0
8669,4,6,10,40.0
4919,4,6,10,40.0
1956,4,6,10,40.0
4907,4,6,10,40.0
4911,4,6,10,40.0
1177,4,6,10,40.0
1838,4,6,10,40.0
4928,8,12,20,40.0
4802,4,6,10,40.0
5258,4,6,10,40.0
1754,4,6,10,40.0
1157,4,6,10,40.0
1775,4,6,10,40.0
4983,4,6,10,40.0
2284,4,6,10,40.0
8936,4,6,10,40.0
216,4,6,10,40.0
8288,4,6,10,40.0
8289,4,6,10,40.0
2157,4,6,10,40.0
8292,4,6,10,40.0
8297,4,6,10,40.0
5257,4,6,10,40.0
5298,4,6,10,40.0
4828,4,6,10,40.0
5680,4,6,10,40.0
2008,4,6,10,40.0
